doi,title,authors,year,container,volume,issue,pages,url,verification,accessed
10.1016/0007-6813(91)90005-G,The pyramid of corporate social responsibility: Toward the moral management of organizational stakeholders,Archie B. Carroll,1991,Business Horizons,34,4,39-48,https://doi.org/10.1016/0007-6813(91)90005-g,verified_crossref,2026-09-01
10.1287/mnsc.2014.1984,The Impact of Corporate Sustainability on Organizational Processes and Performance,Robert G. Eccles; Ioannis Ioannou; George Serafeim,2014,Management Science,60,11,2835-2857,https://doi.org/10.1287/mnsc.2014.1984,verified_crossref,2026-09-01
10.1080/20430795.2015.1118917,ESG and financial performance: aggregated evidence from more than 2000 empirical studies,Gunnar Friede; Timo Busch; Alexander Bassen,2015,Journal of Sustainable Finance & Investment,5,4,210-233,https://doi.org/10.1080/20430795.2015.1118917,verified_crossref,2026-09-01
10.2308/accr-51383,Corporate Sustainability: First Evidence on Materiality,Mozaffar Khan; George Serafeim; Aaron Yoon,2016,The Accounting Review,91,6,1697-1724,https://doi.org/10.2308/accr-51383,verified_crossref,2026-09-01
10.1093/rof/rfac033,Aggregate Confusion: The Divergence of ESG Ratings,Florian Berg; Julian F. Kölbel; Roberto Rigobon,2022,Review of Finance,26,6,1315-1344,https://doi.org/10.1093/rof/rfac033,verified_crossref,2026-09-01
10.1007/s11142-021-09609-5,Mandatory CSR and sustainability reporting: economic analysis and literature review,Hans B. Christensen; Luzi Hail; Christian Leuz,2021,Review of Accounting Studies,26,3,1176-1248,https://doi.org/10.1007/s11142-021-09609-5,verified_crossref,2026-09-01
10.1016/j.jcorpfin.2021.101889,Firms and social responsibility: A review of ESG and CSR research in corporate finance,Stuart L. Gillan; Andrew Koch; Laura T. Starks,2021,Journal of Corporate Finance,66,,101889,https://doi.org/10.1016/j.jcorpfin.2021.101889,verified_crossref,2026-09-01
10.1007/s10551-019-04164-1,The Influence of Firm Size on the ESG Score: Corporate Sustainability Ratings Under Review,Samuel Drempetic; Christian Klein; Bernhard Zwergel,2020,Journal of Business Ethics,167,2,333-360,https://doi.org/10.1007/s10551-019-04164-1,verified_crossref,2026-09-01
10.1525/cmr.2011.54.1.64,The Drivers of Greenwashing,Magali A. Delmas; Vanessa Cuerel Burbano,2011,California Management Review,54,1,64-87,https://doi.org/10.1525/cmr.2011.54.1.64,verified_crossref,2026-09-01
10.2307/2095101,The Iron Cage Revisited: Institutional Isomorphism and Collective Rationality in Organizational Fields,Paul J. DiMaggio; Walter W. Powell,1983,American Sociological Review,48,2,147-160,https://doi.org/10.2307/2095101,verified_crossref,2026-09-01
10.5465/amr.1995.9508080331,Managing Legitimacy: Strategic and Institutional Approaches,Mark C. Suchman,1995,The Academy of Management Review,20,3,571-610,https://doi.org/10.5465/amr.1995.9508080331,verified_crossref,2026-09-01
10.1191/1478088706qp063oa,Using thematic analysis in psychology,Virginia Braun; Victoria Clarke,2006,Qualitative Research in Psychology,3,2,77-101,https://doi.org/10.1191/1478088706qp063oa,verified_crossref,2026-09-01
10.1080/14780887.2020.1769238,One size fits all? What counts as quality practice in (reflexive) thematic analysis?,Virginia Braun; Victoria Clarke,2021,Qualitative Research in Psychology,18,3,328-352,https://doi.org/10.1080/14780887.2020.1769238,verified_crossref,2026-09-01
10.1093/intqhc/mzm042,Consolidated criteria for reporting qualitative research (COREQ): a 32-item checklist for interviews and focus groups,A. Tong; P. Sainsbury; J. Craig,2007,International Journal for Quality in Health Care,19,6,349-357,https://doi.org/10.1093/intqhc/mzm042,verified_crossref,2026-09-01
10.1177/1525822X05279903,How Many Interviews Are Enough?,Greg Guest; Arwen Bunce; Laura Johnson,2006,Field Methods,18,1,59-82,https://doi.org/10.1177/1525822X05279903,verified_crossref,2026-09-01
10.1177/1049732315617444,Sample Size in Qualitative Interview Studies,Kirsti Malterud; Volkert Dirk Siersma; Ann Dorrit Guassora,2016,Qualitative Health Research,26,13,1753-1760,https://doi.org/10.1177/1049732315617444,verified_crossref,2026-09-01
10.5465/amr.1989.4308385,Building Theories from Case Study Research,Kathleen M. Eisenhardt,1989,The Academy of Management Review,14,4,532-550,https://doi.org/10.5465/amr.1989.4308385,verified_crossref,2026-09-01
10.3316/QRJ0902027,Document Analysis as a Qualitative Research Method,Glenn A. Bowen,2009,Qualitative Research Journal,9,2,27-40,https://doi.org/10.3316/QRJ0902027,verified_publisher,2026-09-01
10.1177/1049732305276687,Three Approaches to Qualitative Content Analysis,Hsiu-Fang Hsieh; Sarah E. Shannon,2005,Qualitative Health Research,15,9,1277-1288,https://doi.org/10.1177/1049732305276687,verified_publisher,2026-09-01
10.4135/9781529682571,Qualitative Content Analysis in Practice,Margrit Schreier,2012,SAGE Publications,,,,https://doi.org/10.4135/9781529682571,verified_publisher,2026-09-01
10.1108/AAAJ-04-2012-00998,Sustainability reports as simulacra? A counter-account of A and A+ GRI reports,Olivier Boiral,2013,"Accounting, Auditing & Accountability Journal",26,7,1036-1071,https://doi.org/10.1108/AAAJ-04-2012-00998,verified_publisher,2026-09-01
10.1016/j.jclepro.2013.07.005,"Determinants of sustainability reporting: a review of results, trends, theory, and opportunities in an expanding field of research",Rüdiger Hahn; Michael Kühnen,2013,Journal of Cleaner Production,59,,5-21,https://doi.org/10.1016/j.jclepro.2013.07.005,verified_publisher,2026-09-01
10.1016/j.cpa.2014.10.003,CSR reporting practices and the quality of disclosure: An empirical analysis,Giovanna Michelon; Silvia Pilonato; Federica Ricceri,2015,Critical Perspectives on Accounting,33,,59-78,https://doi.org/10.1016/j.cpa.2014.10.003,verified_publisher,2026-09-01
